store,name,price,old_price,promotion
Makro,"Nestle Full Cream Sweetened Condensed Milk, Plain Flavour (24 x 385 ml)",840.0,,
Makro,Kellogg's All Bran Flakes Box (4 x 500 g),399.0,,
Makro,Tabasco Pepper Sauce Sauce (60 ml),57.95,,
Makro,Lipton Lemon Flavoured Iced Tea (24 x 300 ml),240.0,,
Makro,Nestle Desert and Cooking Cream (6 x 290 g),209.95,,
Makro,Beacon Jelly Tots Fruity Flavoured Jelly Sweets (Pack of 40 x 41 g),350.45,,
Makro,Stoney Ginger Beer Clasic (6 x 2 L),114.95,,
Makro,All Gold The Original Tomato Sauce Sauce (12 x 500 ml),347.95,,
Makro,Paarman Foods Chicken Spice (1 x 1 kg),159.95,,
Makro,"Douwe Egberts Ristretto Instant Coffee (Hazelnut Flavoured, 200 g)",235.95,,
Makro,"KOO Butter Beans (410 g, Pack of 12)",286.75,,
Makro,Knorr Original Seasoning (5 x 200 g),169.25,,
Makro,Aro Butter Beans Beans (3 kg),94.75,,
Makro,Fitch & Leedes Indian Tonic - Sparkling Tonic Flavoured Drink (12 x 1 L),197.95,,
Makro,Selati Low kilojoule sucralose sweetner Sweetener (300 g),73.45,,
Makro,Mister Sweet Soft Gums Fruity Flavoured Jelly Sweets (Pack of 24 x 60 g),297.95,,
Makro,Ellis Brown Creamer Milk Substitutes Powder (125 g),19.95,,
Makro,"Nescafe Ricoffy Instant Coffee (Chicory Flavoured, 12 x 800 g)",1965.0,,
Makro,M Italian Blend Coffee Beans (1 kg),409.95,,
Makro,"M Full Cream Milk - UHT Process Long Life, Plain Flavour (6 x 1 L)",94.95,,
Makro,Freshpak Rooibos with Senna Rooibos Tea Box (20 Bags),32.45,,
Makro,"M Full Cream Milk - UHT Process Long Life, Plain Flavour (1 L)",19.95,,
Makro,aQuelle Natural Spring Sparkling Mineral Water (6 x 1.5 l),64.95,,
Makro,Jungle Energy Bar Peanut Butter Sachet (40 g),13.95,,
Makro,Beacon Jelly Tots Alphabet Fruity Jelly Sweets (Pack of 1 x 100 g),24.75,,
Makro,Wedgewood Angels Nougat Chocolate Cookies (150 g),51.95,,
Makro,Canderel Stevia Sweetener - 80 Sticks Sweetener (159.008 g),107.75,,
Makro,Jungle Energy Bar Milk Chocolate Sachet (40 g),13.95,,
Makro,NCP Instant & Fresh Yeast Powder (10 g),4.95,,
Makro,Bakers Tennis Mint Choc Flavoured Coconut Biscuit (200 g),29.95,,
Makro,King King Double Joy Strawberry Sweets (Pack of 1 x 1 kg),99.95,,
Makro,Jacobs Gold Instant Coffee (6 x 200 g),1304.95,,
Makro,Tabasco Pepper Sauce Sauce (12 x 60 ml),622.95,,
Makro,Simba Chips Chips (1 x 120 g),18.95,,
Makro,MOIR'S Essence Vanilla (1 x 500ml) Vanilla Liquid Food Essence (500 ml),66.75,,
Makro,Canderel Low kilojoule sweetner Sweetener (100 Sachet),48.95,,
Makro,Fine Foods Steak & Chops Spice (1 x 1 kg),92.95,,
Makro,Steers Steakmaker Marinade (700 g),51.95,,
Makro,Jungle Energy Bar Berries Sachet (40 g),13.95,,
Makro,Thirsti Still Natural Spring Mineral Water (4 x 5 l),79.95,,
Makro,"Nestle Full Cream Sweetened Condensed Milk, Plain Flavour (24 x 385 ml)",840.0,,
Makro,Kellogg's All Bran Flakes Box (4 x 500 g),399.0,,
Makro,Tabasco Pepper Sauce Sauce (60 ml),57.95,,
Makro,Lipton Lemon Flavoured Iced Tea (24 x 300 ml),240.0,,
Makro,Nestle Desert and Cooking Cream (6 x 290 g),209.95,,
Makro,Beacon Jelly Tots Fruity Flavoured Jelly Sweets (Pack of 40 x 41 g),350.45,,
Makro,Stoney Ginger Beer Clasic (6 x 2 L),114.95,,
Makro,All Gold The Original Tomato Sauce Sauce (12 x 500 ml),347.95,,
Makro,Paarman Foods Chicken Spice (1 x 1 kg),159.95,,
Makro,"Douwe Egberts Ristretto Instant Coffee (Hazelnut Flavoured, 200 g)",235.95,,
Makro,"KOO Butter Beans (410 g, Pack of 12)",286.75,,
Makro,Knorr Original Seasoning (5 x 200 g),169.25,,
Makro,Aro Butter Beans Beans (3 kg),94.75,,
Makro,Fitch & Leedes Indian Tonic - Sparkling Tonic Flavoured Drink (12 x 1 L),197.95,,
